0	1	1	1001	4	2	480
0	1	1	1001	2	3	480
0	1	1	1001	4	4	480
0	1	1	1002	3	3	360
0	1	1	1002	4	4	360
0	1	3	3001	3	4	300
0	1	3	3001	1	7	300
0	1	3	3002	4	3	300
0	1	3	3002	2	4	300
0	1	4	4001	2	3	360
0	1	4	4001	4	3	360
0	1	4	4002	2	1	360
0	1	4	4002	5	1	360
0	1	5	5001	1	1	270
0	1	5	5001	5	2	270
0	1	5	5002	2	6	270
0	1	5	5002	1	8	270
0	1	6	6001	4	3	300
0	1	6	6001	2	4	300
0	1	6	6002	2	5	300
0	1	6	6002	4	6	300
0	1	7	7001	1	3	300
0	1	7	7001	4	5	300
0	1	7	7002	1	2	300
0	1	7	7002	3	2	300
0	1	8	8001	4	3	360
0	1	8	8001	2	6	360
0	1	8	8002	5	1	360
0	1	8	8002	1	2	360
